0,Anterior MPFC
1,Fusiform/parahippocampus
2,DMPFC
3,Sensorimotor/postcentral gyrus
4,V1
5,TPJ posterior supra marginal/angular gyrus
6,PCC/precuneus
7,Thalamus
8,SMA
9,Precentral gyrus
10,Cerebellum (VI)
11,Temporal occipital fusiform
12,Amygdala
13,Superior temporal gyrus
14,White matter
15,TPJ anterior supra marginal gyrus/parietal operculum
16,Mid insula
17,Putamen
18,Dorsal anterior insula
19,PCC/superior LOC
20,Lateral occipital/temporal occipital (V2)
22,DACC
23,Anterior fronto-parietal (DLPFC/DACC)
24,Intercalcarine cortex
25,Anterior VLPFC
26,Left motor
27,Left IFG
28,Hippocampus
29,Dorsal caudate
32,VMPFC
34,NACC
35,A1
37,Ventral anterior insula
39,Superior LOC
42,Cerebellum (crus)
44,DLPFC
45,Right IFG VLPFC
46,Inferior LOC
47,Right motor
48,Somatosensory
49,STS
